code;latitudine;longitudine;altitudineslm;strumentazione;regione;comune;area;provincia;label_tmp;label_good
lmb242;45,9021681894541;9,3358792662184;240;Davis Vantage Pro 2;Lombardia;Abbadia Lariana;;LC;Abbadia Lariana;Abbadia Lariana
lmb275;45,7961087477076;9,16230261325836;403;Davis Vantage Pro 2;Lombardia;Albese con Cassano;;CO;Albese con Cassano;Albese con Cassano
lmb165;45,7553374698678;9,81564044952393;393;Davis Vantage Pro 2;Lombardia;Albino; Fiobbio;BG;Albino-- Fiobbio;Albino-- Fiobbio
lmb257;45,7427702653595;9,81369987130165;1016;Davis Vantage Pro 2;Lombardia;Albino;Fiobbio Monte Misma;BG;Albino--Fiobbio Monte Misma;Albino--Fiobbio Monte Misma
lmb345;45,746918;9,552929;330;davis vantage pro 2 wireless plus;Lombardia;Almenno San Bartolomeo;località carosso - atterraggio parapendio;BG;Almenno San Bartolomeo--località carosso - atterraggio parapendio;Almenno San Bartolomeo--località carosso - atterraggio parapendio
lmb315;45,738411;9,578911;300;Davis Vantage Pro2;Lombardia;Almenno San Bartolomeo;Scuole Medie;BG;Almenno San Bartolomeo--Scuole Medie;Almenno San Bartolomeo--Scuole Medie
lmb223;45,7475517327784;9,59496974945068;292;Davis ProVantage 2;Lombardia;Almenno San Salvatore;;BG;Almenno San Salvatore;Almenno San Salvatore
lmb240;45,7689075087836;9,18253719806671;371;Irox ProX 2 USB;Lombardia;Alzate Brianza;;CO;Alzate Brianza;Alzate Brianza
lmb372;45,627055;9,326476;200;Davis Vantage Pro 2;Lombardia;Arcore;;MB;Arcore;Arcore
lmb010;45,6606793788931;9,1312962770462;225;Oregon Scientific WMR918, termometro a mercurio in capannina;Lombardia;Barlassina;;MB;Barlassina;Barlassina
lmb002;45,93;9,47;750;Davis Vantage Pro 2, pluviometro manuale;Lombardia;Barzio;;LC;Barzio;Barzio
lmb302;45,811901;9,571967;630;Davis Vantage Pro 2;Lombardia;Berbenno;Berbenno centro;BG;Berbenno--Berbenno centro;Berbenno-- centro
lmb166;45,7123788652215;9,26441431045532;291;Davis Vantage Pro 2;Lombardia;Besana in Brianza;Naresso;MB;Besana in Brianza--Naresso;Besana in Brianza--Naresso
lmb123;45,6906080036598;9,26380276679993;288;Davis Vantage Pro 2;Lombardia;Besana in Brianza;Villa Raverio;MB;Besana in Brianza--Villa Raverio;Besana in Brianza--Villa Raverio
lmb339;45,61029;9,157306;190;Davis Vantage Pro 2;Lombardia;Bovisio Masciago;;MB;Bovisio Masciago;Bovisio Masciago
lmb094;45,55;9,65;125;Lacrosse WS3600;Lombardia;Brignano Gera d'Adda;;BG;Brignano Gera d'Adda;Brignano Gera d'Adda
lmb225;45,7267083130998;9,41868424415588;295;Davis Vue;Lombardia;Calco;;LC;Calco;Calco
lmb236;45,7948651352105;9,45987895131111;610;Davis Vantage Pro2;Lombardia;Calolziocorte;Sopracornola ;LC;Calolziocorte--Sopracornola ;Calolziocorte--Sopracornola 
lmb319;45,502191;9,60631;115;Davis vantage Pro2;Lombardia;Calvenzano;;BG;Calvenzano;Calvenzano
lmb333;45,748;9,140343;349;Davis Vantage Pro 2 ;Lombardia;Cantù;Fecchio;CO;Cantù--Fecchio;Cantù--Fecchio
lmb230;45,7572912199392;9,13476705551147;375;Davis Vantage Pro 2;Lombardia;Capiago Intimiano;Via Degli Arconi;CO;Capiago Intimiano--Via Degli Arconi;Capiago Intimiano--Via Degli Arconi
lmb267;45,3384213959958;9,27087306976318;105;VANTAGE PRO2 PLUS;Lombardia;Carpiano;centro;MI;Carpiano--centro;Carpiano--centro
lmb005;45,17;9,63;60;Oregon Scientific Bar928 Giove;Lombardia;Casalpusterlengo;;LO;Casalpusterlengo;Casalpusterlengo (prima)
lmb310;45,178522;9,651866;73;Davis Vantage Pro 2;Lombardia;Casalpusterlengo;Casalpusterlengo;LO;Casalpusterlengo--Casalpusterlengo;Casalpusterlengo (seconda)
lmb253;46,0530712856299;9,39318180084229;970;Davis Vantage Pro 2;Lombardia;Casargo;Località Piazzo;LC;Casargo--Località Piazzo;Casargo--Località Piazzo
lmb046;45,52;9,52;129;Davis Vantage Pro2;Lombardia;Cassano d'Adda;;MI;Cassano d'Adda;Cassano d'Adda
lmb314;45,544886;8,760987;184;Davis VP2;Lombardia;Castano Primo;;MI;Castano Primo;Castano Primo
lmb323;45,610489;8,894846;216;WS3650 modificata;Lombardia;Castellanza;centro;VA;Castellanza--centro;Castellanza--centro
lmb006;45,6095043923698;9,89370346069336;183;Davis Vantage Pro 2;Lombardia;Castelli Calepio;;BG;Castelli Calepio;Castelli Calepio
lmb235;45,6227721960131;9,14222359657288;196;Davis Vantage Pro;Lombardia;Cesano Maderno;;MB;Cesano Maderno;Cesano Maderno
lmb334;45,928915;9,243941;987;Davis Vantage Pro 2 ;Lombardia;Civenna;Piano Rancio;CO;Civenna--Piano Rancio;Civenna--Piano Rancio
lmb039;45,155054;9,693347;58;Davis Vantage Pro;Lombardia;Codogno;;LO;Codogno;Codogno
lmb313;45,974085;10,078288;1051;Davis Vantage Pro 2;Lombardia;Colere;Colere ;BG;Colere--Colere ;Colere--Colere 
lmb370;45,835739;10,093988;360;Davis vantage pro2;Lombardia;Costa Volpino;Volpino;BG;Costa Volpino--Volpino;Costa Volpino--fraz. Volpino
lmb292;45,9030601255896;8,8654088973999;590;davis Vantage Pro 2;Lombardia;Cuasso al Monte;cavagnano;VA;Cuasso al Monte--cavagnano;Cuasso al Monte--Cavagnano
